S NO.	COMPANY NAME	COMPANY CATEGORY
374	INSTITUTE OF ARCHEOLOGY	CAT G
375	INSTITUTE OF CHARTERED ACCOUNTANTS	CAT G
376	INSTITUTE OF ECONOMIC GROWTH	CAT G
377	INSTITUTE OF HUMAN BEHAVIOUR AND AL	CAT G
378	INSTITUTE OF MANAGEMENT SCIENCE & P	CAT G
379	INSTITUTE OF NUCLEAR MEDICINE  & AL	CAT G
380	INTELLIGENCE BUREAU	CAT G
381	INTERNATIONAL AIRLINES	CAT G
382	INTERNATIONAL AIRPORT	CAT G
383	INTERNATIONAL METRO CIVIL CONTRACTORS	CAT G
384	IPS OFFICERS	CAT G
385	IRCON	CAT G
386	ITDC	CAT G
387	J & K STATE AGRO INDS.	CAT G
388	J&K STATE IND DEV CORPN	CAT G
389	JAMMU & KASHMIR BANK LIMITED	CAT G
390	JAWAHARLAL NEHRU PORT	CAT G
391	JAWAHARLAL NEHRU UNIV	CAT G
392	JOINT PLANT COMMITTEE	CAT G
393	JUDGES - SUPREME COURT / HIGH COURT	CAT G
394	K M C HOSPITAL	CAT G
395	K S F C	CAT G
396	K S R T C	CAT G
397	KAIRA DISTRICT COOPERATIVE MILK PRODUCERS UNION LT	CAT G
398	KANDLA PORT TRUST	CAT G
399	KARNATAKA BANK	CAT G
400	KARNATAKA ELECTRICITY BRD	CAT G
401	KARNATAKA MINERALS & MFG.	CAT G
402	KARNATAKA POWER CORPN.	CAT G
403	KARNATAKA SILK INDS CORPN	CAT G
404	KARNATAKA STATE CO-OP	CAT G
405	KARNATAKA STATE INDS INV & DEV CORP	CAT G
406	KARNATAKA TELECOM LIMITED	CAT G
407	KERALA INST OF LOCAL ADMINISTRATION	CAT G
408	KERALA STATE HANDLOOM	CAT G
409	KERALA TOURIST DEV CORPN	CAT G
410	KHADI & VILLAGE	CAT G
411	KUDREMUKH IRON ORE CO	CAT G
412	L N J P HOSPITAL	CAT G
413	L R D E	CAT G
414	LALIT KALA AKADEMI	CAT G
415	LIFE INSURANCE CORPN OF INDIA	CAT G
416	LOK NAYAK JAI PRAKASH	CAT G
417	LOSS PREVENTION ASSOCIATION OF INDIA LIMITED	CAT G
418	M C D	CAT G
419	M H A D A	CAT G
420	M I D C	CAT G
421	M M D A	CAT G
422	M M R D A	CAT G
423	M M W S S B	CAT G
424	M P FINANCIAL CORPORATION	CAT G
425	M S E B	CAT G
426	M S F C	CAT G
427	M T N L	CAT G
428	MADHYA PRADESH STATE ELEC	CAT G
429	MADRAS METROPOLITAN	CAT G
430	CHENNAI PORT TRUST	CAT G
431	MILITARY ENGINEER SERVICES (MES)	CAT G
432	MINISTRIES OF GOVT. OF INDIA	CAT G
433	MINISTRY OF AGRICULTURE	CAT G
434	MINISTRY OF ATOMIC ENERGY	CAT G
435	MINISTRY OF CHEMICAL & FERTILISERS	CAT G
436	MINISTRY OF CIVIL AVIATION\	CAT G
437	MINISTRY OF COAL	CAT G
438	MINISTRY OF COMMERCE	CAT G
439	MINISTRY OF COMMUNICATIONS	CAT G
440	MINISTRY OF DEFENCE	CAT G
441	MINISTRY OF DISINVESTMENT	CAT G
