S NO.	COMPANY NAME	COMPANY CATEGORY
351	SOLIDUS HITECH PRODUCT PRIVATE LIMITED	CAT A
352	ETISALAT SOFTWARE SOLUTIONS PRIVATE LIMITED	CAT A
353	QUANTIPHI ANALYTICS SOLUTIONS PRIVATE LIMITED	CAT A
354	EMD LOCOMOTIVE TECHNOLOGIES PRIVATE LIMITED	CAT A
355	PITNEY BOWES SOFTWARE INDIA PRIVATE LIMITED	CAT A
356	BOWREAH JUTE MILLS PRIVATE LIMITED	CAT A
357	MALU ELECTRODES PRIVATE LIMITED	CAT A
358	JBM AUTO SYSTEM PRIVATE LIMITED	CAT A
359	VENUS REMEDIES LIMITED	CAT A
360	AJANTA SHOES INDIA PRIVATE LIMITED	CAT A
361	N G PROJECTS LIMITED	CAT A
362	S K B BUILDERS INDIA LIMITED	CAT A
363	MEHTA PETROREFINERIES LIMITED	CAT A
364	BHILWARARAJSAMAND TOLLWAY PRIVATE LIMITED	CAT A
365	ACCURACY SHIPPING LIMITED	CAT A
366	ANMOL INDIA LIMITED	CAT A
367	INTEGRATED COAL MINING LIMITED	CAT A
368	UNITED POLYFAB GUJARAT LIMITED	CAT A
369	AMAPAI CORPORATION INDIA PRIVATE LIMITED	CAT A
370	ONE MOBIKWIK SYSTEMS PRIVATE LIMITED	CAT A
371	T AND M SERVICES CONSULTING PRIVATE LIMITED	CAT A
372	SRI KAUVERY MEDICAL CARE INDIA LIMITED	CAT A
373	SLK GLOBAL SOLUTIONS PRIVATE LIMITED	CAT A
374	SANOFI PASTEUR INDIA PRIVATE LIMITED	CAT A
375	LSL TOOLS PRIVATE LIMITED	CAT A
376	METRO RETAIL PRIVATE LIMITED	CAT A
377	PRANJUL FASHION PRIVATE LIMITED	CAT A
378	SHIVAM CONDEV PRIVATE LIMITED	CAT A
379	PARIKH PACKAGING PRIVATE LIMITED	CAT A
380	CITRIX RD INDIA PRIVATE LIMITED	CAT A
381	EXILANT TECHNOLOGIES PRIVATE LIMITED	CAT A
382	ACHINTYA SECURITIES PRIVATE LIMITED	CAT A
383	BB TRIPLEWALL CONTAINERS LIMITED	CAT A
384	DEEPAK BUILDERS AND ENGINEERS INDIA PRIVATE LIMITED	CAT A
385	HAQ STEELS AND METALIKS LIMITED	CAT A
386	HITECH CHEMICALS LIMITED	CAT A
387	MARINE ELECTRICALS INDIA LIMITED	CAT A
388	MOTOCARE INDIA PRIVATE LIMITED	CAT A
389	PIONEER INDUSTRIES PRIVATE LIMITED	CAT A
390	AECOM ASIA COMPANY LIMITED	CAT A
391	COGITECH SOLUTIONS PRIVATE LIMITED	CAT A
392	COMINIX INDIA PRIVATE LIMITED	CAT A
393	INDEPENDENT NEWS SERVICE PRIVATE LIMITED	CAT A
394	INOGENT LABORATORIES PRIVATE LIMITED	CAT A
395	MANOHAR FILAMENTS PRIVATE LIMITED	CAT A
396	MTAR TECHNOLOGIES LIMITED	CAT A
397	RAPYUTA ROBOTICS PRIVATE LIMITED	CAT A
398	TELECOM NETWORK SOLUTIONS PRIVATE LIMITED	CAT A
399	VAHAN TECHNOLOGIES INDIA PRIVATE LIMITED	CAT A
400	WEATHERFORD DRILLING INTERNATIONAL BVI LIMITED	CAT A
401	FORD INDIA PRIVATE LIMITED	CAT A
402	RICOH INNOVATIONS PRIVATE LIMITED	CAT A
403	IDL EXPLOSIVES LIMITED	CAT A
404	VEER PLASTICS PRIVATE LIMITED	CAT A
405	GOLD PLUS GLASS INDUSTRY LIMITED	CAT A
406	K I C METALIKS LIMITED	CAT A
407	YASH RAJ FILMS PRIVATE LIMITED	CAT A
408	ORIENTAL AROMATICS LIMITED	CAT A
409	TC TOURS LIMITED	CAT A
410	GHODAWAT CONSUMER LIMITED	CAT A
411	NEZONE TUBES LIMITED	CAT A
412	HINDUSTAN CONSTRUCTION COMPANY LIMITED	CAT A
413	NLMK INDIA SERVICE CENTER PRIVATE LIMITED	CAT A
414	MARKIT INDIA SERVICES PRIVATE LIMITED	CAT A
415	SIGMA ELECTRIC MANUFACTURING CORPORATION PRIVATE LIMITED	CAT A
416	AROHAN FINANCIAL SERVICES LIMITED	CAT A
417	MANAPPURAM HOME FINANCE LIMITED	CAT A
418	DETOX INDIA PRIVATE LIMITED	CAT A
419	MSS INDIA PRIVATE LIMITED	CAT A
420	GUJARAT STATE PETRONET LIMITED	CAT A
421	ANAND JEWELS INDORE PRIVATE LIMITED	CAT A
422	CMR NIKKEI INDIA PRIVATE LIMITED	CAT A
423	RK STEEL MANUFACTURING COMPANY PRIVATE LIMITED	CAT A
424	CRESCENT ORGANICS PRIVATE LIMITED	CAT A
425	MAX FINANCIAL SERVICES LIMITED	CAT A
426	NETAPP INDIA PRIVATE LIMITED	CAT A
427	UTTAM GALVA METALLICS LIMITED	CAT A
428	ADANI PROPERTIES PRIVATE LIMITED	CAT A
429	BALAJI WAFERS PRIVATE LIMITED	CAT A
430	ROADWAY SOLUTIONS INDIA INFRA LIMITED	CAT A
431	EASTERN COALFIELDS LIMITED	CAT A
432	TMEIC INDUSTRIAL SYSTEMS INDIA PRIVATE LIMITED	CAT A
433	AMWAY INDIA ENTERPRISES PRIVATE LIMITED	CAT A
434	JAYASWAL NECO INDUSTRIES LIMITED	CAT A
435	NAVIN FLUORINE INTERNATIONAL LIMITED	CAT A
436	THE ORIENTAL INSURANCE COMPANY LIMITED	CAT A
437	ISMARTU INDIA PRIVATE LIMITED	CAT A
438	K S B PUMPS LIMITED	CAT A
439	RCCPL PRIVATE LIMITED	CAT A
440	URANIUM CORPORATION OF INDIA LIMITED	CAT A
441	GE INDIA INDUSTRIAL PRIVATE LIMITED	CAT A
442	DALMIA BHARAT LIMITED	CAT A
443	BIOCON BIOLOGICS INDIA LIMITED	CAT A
444	GRUH FINANCE LIMITED	CAT A
445	RAJASTHAN STATE MINES AND MINERALS LIMITED	CAT A
446	NETAPP INDIA MARKETING AND SERVICES PRIVATE LIMITED	CAT A
447	PHI SEEDS PRIVATE LIMITED	CAT A
448	SHEEL OIL AND FATS PRIVATE LIMITED	CAT A
449	ALFA LAVAL INDIA LIMITED	CAT A
450	GRANT THORNTON INDIA LLP	CAT A
451	PASUPATI AGROVET PRIVATE LIMITED	CAT A
452	SAMPOORNA FEEDS PRIVATE LIMITED	CAT A
453	BC INSTRUMENTS INDIA PRIVATE LIMITED	CAT A
454	CLEAN SCIENCE AND TECHNOLOGY PRIVATE LIMITED	CAT A
455	COPPRROD INDUSTRIES PRIVATE LIMITED	CAT A
456	DURGAPUR MEDICAL CENTRE PRIVATE LIMITED	CAT A
457	GLOBAL ACQUA PRIVATE LIMITED	CAT A
458	JP STRUCTURES PRIVATE LIMITED	CAT A
459	MADHAV STELCO PRIVATE LIMITED	CAT A
460	ORICLEAN PRIVATE LIMITED	CAT A
461	PATODIA FILAMENTS PRIVATE LIMITED	CAT A
462	ROYALE MARINE IMPEX PRIVATE LIMITED	CAT A
