S NO.	COMPANY NAME	COMPANY CATEGORY
403	DORLING KINDERSLEY PUBLISHING PRIVATE LIMITED	 CAT D 
404	BITKEMY VENTURES PVT LTD	 CAT C 
405	PROVENANCE LAND PVT LTD	 CAT C 
406	HAZELO LAB PRIVATE LIMITED	 CAT C 
407	SEABIRD MARINE SERVICES PRIVATE LIMITED	 CAT A 
408	AVINASH CARGO PVT LTD	 CAT D 
409	RAJKRIPAL LUMBERS LIMITED	 CAT C 
410	EDUNETWORK PVT LTD	 CAT C 
411	SCINTEL TECHNOLOGIES PRIVATE LIMITED	 CAT D 
412	CRES INTEGRATED SERVICES PRIVATE LIMITED	 CAT D 
413	SHRIRAM RUBBER PRODUCTS PRIVATE LIMITED	 CAT D 
414	Gujarat Themis Biosyn Ltd	 CAT D 
415	RAD ELAN DISTRIBUTORS PRIVATE LIMITED	 CAT D 
416	KADAKIA PAPERS P LTD	 CAT D 
417	INDO JAPAN AIR SERVICES PVT LTD	 CAT C 
418	PULSE PHARMACEUTICALS PRIVATE LIMITED	 CAT C 
419	POSCO INDIA PRIVATE LIMITED	 CAT D 
420	Air Travel Bureau Limited	 CAT B 
421	METSO INDIA PRIVATE LTD	 CAT B 
